Time;Amplitude
192.08393860;1.54901958
192.08811951;1.01960790
192.08811951;0.62745100
192.09207153;0.72549021
192.09619141;0.76470590
192.10041809;1.66666663
192.10446167;1.37254906
192.10844421;1.09803927
192.10844421;0.70588237
192.11259460;0.68627453
192.11666870;1.07843137
192.12083435;1.64705884
192.12083435;1.82352936
192.12490845;1.43137252
192.12893677;0.90196079
192.13304138;1.00000000
192.13304138;1.23529410
192.13726807;1.58823526
192.14128113;1.92156863
192.14128113;1.78431368
192.14533997;1.37254906
192.14945984;0.84313726
192.15356445;0.43137255
192.15356445;0.29411766
192.15768433;0.00000000
192.16168213;0.49019608
192.16593933;0.98039216
192.16593933;1.01960790
192.16995239;0.47058824
192.17407227;0.00000000
192.17816162;0.07843138
192.17816162;0.23529412
192.18215942;0.50980395
192.18627930;1.17647064
192.18627930;1.49019611
192.19042969;1.49019611
192.19456482;0.84313726
192.19853210;0.01960784
192.19853210;0.17647059
192.20269775;0.45098040
192.20684814;0.27450982
192.21099854;0.00000000
192.21099854;0.15686275
192.21495056;0.23529412
192.21908569;0.56862748
192.22322083;1.37254906
192.22322083;1.43137252
192.22734070;1.11764705
192.23146057;0.86274511
192.23146057;0.76470590
192.23545837;1.21568632
192.23960876;1.72549021
192.24368286;1.64705884
192.24368286;1.86274505
192.24777222;2.09803915
192.25192261;1.78431368
192.25592041;1.56862748
192.25592041;1.76470590
192.26002502;2.15686274
192.26417542;2.29411769
192.26834106;2.13725495
192.26834106;2.00000000
192.27233887;1.62745094
192.27647400;1.54901958
192.27647400;1.39215684
192.28060913;1.23529410
192.28457642;0.94117647
192.28868103;0.60784316
192.28868103;0.47058824
192.29284668;0.37254903
192.29696655;0.39215687
192.30107117;0.80392158
192.30107117;1.00000000
192.30505371;0.43137255
192.30921936;0.00000000
192.31333923;0.27450982
192.31745911;0.19607843
192.32162476;0.00000000
192.32162476;0.00000000
192.32562256;0.00000000
192.32972717;0.00000000
192.33383179;0.00000000
192.33383179;0.00000000
192.33793640;0.00000000
192.34191895;0.00000000
192.34609985;0.00000000
192.34609985;0.00000000
192.35021973;0.00000000
192.35433960;0.00000000
192.35845947;0.00000000
192.36250305;0.00000000
192.36654663;0.00000000
192.36654663;0.01960784
192.37066650;0.31372550
192.37477112;0.64705884
192.37901306;0.92156863
192.37901306;0.94117647
192.38290405;0.74509805
192.38706970;0.00000000
192.39117432;0.00000000
192.39117432;0.00000000
192.39520264;0.00000000
192.39933777;0.00000000
192.40347290;0.00000000
192.40760803;0.00000000
192.41168213;0.00000000
192.41168213;0.00000000
192.41567993;0.00000000
192.41981506;0.00000000
192.42396545;0.00000000
192.42396545;0.00000000
192.42797852;0.00000000
192.43209839;0.00000000
192.43623352;0.00000000
192.43623352;0.00000000
192.44033813;0.00000000
192.44445801;0.00000000
192.44845581;0.00000000
192.45263672;0.00000000
192.45672607;0.00000000
192.45672607;0.00000000
192.46081543;0.00000000
192.46493530;0.00000000
192.46896362;0.00000000
192.46896362;0.00000000
192.47306824;0.00000000
192.47721863;0.00000000
192.48133850;0.00000000
192.48133850;0.00000000
192.48533630;0.00000000
192.48947144;0.00000000
192.49359131;0.00000000
192.49766541;0.00000000
192.50183105;0.00000000
192.50183105;0.00000000
192.50593567;0.00000000
192.50991821;0.00000000
192.51405334;0.00000000
192.51405334;0.00000000
192.51821899;0.23529412
192.52220154;2.47058821
192.52629089;4.98039198
192.52629089;5.00000000
192.53047180;4.98039198
192.53454590;5.00000000
192.53857422;5.00000000
192.54264832;5.00000000
192.54695129;5.00000000
192.54695129;5.00000000
192.55094910;5.00000000
192.55505371;5.00000000
192.55905151;5.00000000
192.55905151;5.00000000
192.56317139;5.00000000
192.56729126;5.00000000
192.57142639;4.98039198
192.57142639;4.98039198
192.57542419;5.00000000
192.57954407;4.98039198
192.58367920;5.00000000
192.58781433;4.98039198
