Time;Amplitude
100.64958191;2.78431368
100.65375519;2.72549009
100.65375519;2.84313726
100.65779877;2.78431368
100.66197968;2.78431368
100.66197968;2.78431368
100.66602325;2.74509811
100.67009735;2.50980401
100.67420197;2.58823538
100.67420197;2.76470590
100.67829895;2.72549009
100.68237305;2.70588231
100.68649292;2.76470590
100.68649292;2.86274505
100.69057465;2.70588231
100.69469452;2.76470590
100.69879150;2.86274505
100.69879150;2.72549009
100.70281982;2.72549009
100.70697021;2.70588231
100.70697021;2.70588231
100.71104431;2.68627453
100.71515656;2.72549009
100.71926880;2.62745094
100.71926880;2.47058821
100.72334290;2.50980401
100.72748566;2.37254906
100.73159790;2.13725495
100.73159790;2.17647052
100.73564911;2.29411769
100.73970795;2.17647052
100.74386597;2.21568632
100.74386597;2.27450991
100.74791718;2.29411769
100.75201416;2.29411769
100.75201416;2.41176462
100.75611877;2.47058821
100.76017761;2.35294127
100.76432800;2.41176462
100.76432800;2.41176462
100.76836395;2.29411769
100.77249908;2.25490189
100.77664185;2.37254906
100.77664185;2.43137264
100.78070831;2.39215684
100.78479004;2.31372547
100.78889465;2.41176462
100.78889465;2.31372547
100.79299164;2.31372547
100.79711151;2.41176462
100.79711151;2.31372547
100.80117035;2.35294127
100.80525970;2.39215684
100.80936432;2.49019599
100.80936432;2.37254906
100.81349945;2.50980401
100.81755829;2.58823538
100.82167053;2.45098042
100.82167053;2.47058821
100.82574463;2.50980401
100.82983398;2.41176462
100.83396912;2.39215684
100.83396912;2.41176462
100.83804321;2.45098042
100.84214020;2.33333325
100.84214020;2.33333325
100.84628296;2.33333325
100.85031891;2.13725495
100.85449219;2.23529410
100.85449219;2.31372547
100.85851288;2.29411769
100.86269379;2.29411769
100.86672211;2.37254906
100.86672211;2.49019599
100.87081909;2.39215684
100.87494659;2.47058821
100.87903595;2.52941179
100.87903595;2.49019599
100.88309479;2.56862736
100.88722229;2.49019599
100.88722229;2.41176462
100.89128876;2.41176462
100.89539337;2.47058821
100.89949799;2.54901958
100.89949799;2.47058821
100.90359497;2.49019599
100.90764618;2.54901958
100.91179657;2.52941179
100.91179657;2.54901958
100.91587067;2.68627453
100.91996765;2.58823538
100.92409515;2.52941179
100.92409515;2.62745094
100.92816925;2.66666675
100.93227386;2.47058821
100.93227386;2.54901958
100.93636322;2.60784316
100.94049072;2.47058821
100.94459534;2.52941179
100.94459534;2.62745094
100.94864655;2.47058821
100.95274353;2.47058821
100.95684052;2.64705873
100.95684052;2.56862736
100.96094513;2.43137264
100.96505737;2.47058821
100.96914673;2.47058821
100.96914673;2.39215684
100.97321320;2.50980401
100.97734070;2.54901958
100.97734070;2.54901958
100.98143768;2.56862736
100.98551178;2.54901958
100.98960876;2.56862736
100.98960876;2.41176462
100.99369049;2.41176462
100.99780273;2.39215684
101.00192261;2.19607854
101.00192261;2.23529410
101.00598907;2.23529410
101.01009369;2.17647052
101.01419830;2.23529410
101.01419830;2.35294127
101.01828766;2.21568632
101.02239227;2.17647052
101.02239227;2.07843137
101.02648926;2.05882359
101.03059387;1.90196073
101.03469849;1.92156863
101.03469849;1.94117641
101.03878784;1.96078432
101.04286194;1.94117641
101.04697418;2.05882359
101.04697418;2.15686274
101.05104065;2.23529410
101.05512238;2.31372547
101.05927277;2.39215684
101.05927277;2.35294127
101.06334686;2.33333325
101.06748962;2.33333325
101.06748962;2.19607854
101.07154083;2.25490189
101.07564545;2.33333325
101.07974243;2.39215684
101.07974243;2.39215684
101.08381653;2.33333325
101.08798218;2.41176462
101.09201813;2.29411769
101.09201813;2.31372547
101.09613800;2.25490189
101.10016632;2.15686274
101.10431671;2.21568632
101.10431671;2.33333325
101.10836792;2.41176462
101.11271667;2.35294127
101.11271667;2.52941179
101.11660767;2.56862736
101.12068939;2.49019599
101.12479401;2.47058821
101.12479401;2.49019599
101.12889862;2.41176462
101.13294983;2.47058821
101.13710022;2.60784316
101.13710022;2.64705873
101.14116669;2.64705873
101.14537811;2.66666675
101.14939880;2.78431368
101.14939880;2.64705873
101.15348816;2.74509811
101.15756989;2.68627453
101.15756989;2.62745094
101.16165161;2.58823538
101.16574097;2.50980401
101.16986847;2.49019599
101.16986847;2.45098042
101.17394257;2.68627453
101.17803955;2.50980401
101.18214417;2.49019599
101.18214417;2.58823538
101.18624115;2.50980401
101.19029999;2.33333325
101.19451141;2.27450991
101.19451141;2.27450991
101.19851685;2.35294127
101.20265198;2.37254906
101.20265198;2.41176462
101.20671844;2.50980401
101.21077728;2.60784316
101.21493530;2.70588231
101.21493530;2.78431368
101.21899414;2.72549009
101.22309113;2.80392146
101.22730255;2.86274505
101.22730255;2.80392146
101.23138428;2.84313726
101.23543549;2.86274505
101.23950195;2.88235283
101.23950195;2.70588231
101.24359131;2.70588231
101.24769592;2.66666675
101.24769592;2.52941179
101.25177002;2.64705873
101.25586700;2.72549009
101.25999451;2.72549009
101.25999451;2.74509811
101.26408386;2.74509811
101.26814270;2.82352948
101.27227020;2.64705873
101.27227020;2.66666675
101.27633667;2.72549009
101.28057098;2.66666675
101.28456879;2.72549009
101.28456879;2.68627453
101.28864288;2.70588231
101.29274750;2.76470590
101.29274750;2.72549009
101.29686737;2.76470590
101.30089569;2.58823538
101.30504608;2.66666675
101.30504608;2.66666675
101.30912018;2.47058821
101.31321716;2.62745094
101.31732178;2.64705873
101.31732178;2.47058821
101.32141113;2.47058821
101.32547760;2.43137264
101.32962799;2.37254906
101.32962799;2.21568632
101.33369446;2.27450991
101.33781433;2.25490189
101.33781433;2.21568632
101.34189606;2.27450991
101.34602356;2.25490189
101.35009003;2.31372547
101.35009003;2.33333325
101.35418701;2.37254906
101.35824585;2.47058821
101.36251068;2.52941179
101.36251068;2.21568632
101.36648560;2.35294127
101.37056732;2.19607854
101.37468719;2.21568632
101.37468719;2.17647052
101.37876892;2.03921580
101.38287354;1.96078432
101.38287354;2.07843137
101.38698578;2.05882359
101.39105988;2.00000000
101.39524078;2.07843137
101.39524078;2.23529410
101.39923859;2.27450991
101.40334320;2.25490189
101.40749359;2.35294127
101.40749359;2.35294127
101.41155243;2.37254906
101.41560364;2.43137264
101.41975403;2.49019599
101.41975403;2.50980401
101.42382050;2.54901958
101.42794037;2.64705873
101.42794037;2.60784316
101.43202209;2.68627453
101.43611145;2.82352948
101.44021606;2.74509811
101.44021606;2.76470590
101.44433594;2.78431368
101.44839478;2.78431368
101.45251465;2.62745094
101.45251465;2.56862736
101.45664215;2.54901958
101.46069336;2.37254906
101.46481323;2.37254906
101.46481323;2.37254906
101.46888733;2.31372547
101.47299194;2.41176462
101.47299194;2.56862736
101.47734833;2.60784316
101.48118591;2.62745094
101.48536682;2.60784316
101.48536682;2.66666675
101.48937225;2.54901958
101.49349976;2.66666675
101.49756622;2.64705873
101.49756622;2.49019599
101.50164032;2.58823538
101.50572205;2.64705873
101.50986481;2.66666675
101.50986481;2.56862736
101.51403046;2.70588231
101.51803589;2.74509811
101.51803589;2.72549009
101.52214813;2.70588231
101.52623749;2.62745094
101.53037262;2.62745094
101.53037262;2.56862736
101.53441620;2.60784316
101.53851318;2.52941179
101.54264069;2.54901958
101.54264069;2.52941179
101.54672241;2.64705873
101.55079651;2.56862736
101.55491638;2.62745094
101.55491638;2.70588231
101.55898285;2.58823538
101.56311035;2.60784316
101.56311035;2.58823538
101.56719208;2.60784316
101.57129669;2.54901958
101.57539368;2.60784316
101.57539368;2.68627453
101.57949829;2.64705873
101.58359528;2.80392146
101.58769226;2.96078420
101.58769226;2.74509811
101.59175873;2.50980401
101.59588623;2.52941179
101.59999084;2.15686274
101.59999084;1.70588231
101.60406494;1.45098042
101.60817719;1.19607842
101.60817719;0.94117647
101.61247253;0.98039216
101.61634064;1.00000000
101.62049103;0.92156863
101.62049103;0.96078432
101.62454224;1.19607842
101.62863922;1.23529410
101.63274384;1.15686274
101.63274384;1.41176474
101.63684082;1.45098042
101.64093781;1.33333337
101.64507294;1.33333337
101.64507294;1.47058821
101.64913177;1.45098042
101.65324402;1.54901958
101.65324402;1.78431368
101.65731049;1.82352936
101.66141510;1.88235295
101.66552734;2.00000000
101.66552734;2.19607854
101.66960144;2.25490189
101.67369843;2.29411769
101.67782593;2.45098042
101.67782593;2.56862736
101.68190002;2.41176462
101.68605804;2.52941179
101.69010925;2.49019599
101.69010925;2.39215684
101.69423676;2.45098042
101.69829559;2.50980401
101.69829559;2.47058821
101.70236206;2.54901958
101.70648956;2.70588231
101.71057129;2.78431368
101.71057129;2.72549009
101.71469116;2.86274505
101.71871948;2.88235283
101.72287750;2.82352948
101.72287750;2.80392146
101.72693634;2.90196085
101.73104095;2.82352948
