Time;Amplitude
354.58770752;2.58823538
354.59182739;2.52941179
354.59182739;2.74509811
354.59594727;2.84313726
354.59997559;2.84313726
354.60409546;3.58823538
354.60815430;3.49019599
354.61230469;3.66666675
354.61230469;3.29411769
354.61636353;2.84313726
354.62045288;2.33333325
354.62457275;1.78431368
354.62457275;1.66666663
354.62866211;1.49019611
354.63275146;1.70588231
354.63687134;1.94117641
354.63687134;2.21568632
354.64093018;2.43137264
354.64505005;2.66666675
354.64913940;2.72549009
354.65328979;2.86274505
354.65734863;2.94117641
354.65734863;2.74509811
354.66146851;2.76470590
354.66552734;2.49019599
354.66964722;2.17647052
354.66964722;2.35294127
354.67370605;2.45098042
354.67779541;2.31372547
354.68191528;2.47058821
354.68191528;3.05882359
354.68600464;3.33333325
354.69012451;3.37254906
354.69421387;3.43137264
354.69827271;3.33333325
354.70242310;2.88235283
354.70242310;2.76470590
354.70648193;2.58823538
354.71057129;2.47058821
354.71469116;2.35294127
354.71469116;2.64705873
354.71875000;2.33333325
354.72286987;2.37254906
354.72702026;2.52941179
354.72702026;2.60784316
354.73107910;2.76470590
354.73519897;2.60784316
354.73928833;2.54901958
354.74340820;2.23529410
354.74746704;1.88235295
354.74746704;1.35294116
354.75152588;1.23529410
354.75561523;1.27450979
354.75973511;1.27450979
354.75973511;1.43137252
354.76382446;1.60784316
354.76788330;1.78431368
354.77203369;1.88235295
354.77203369;2.52941179
354.77621460;2.88235283
354.78018188;3.01960778
354.78430176;3.49019599
354.78839111;3.25490189
354.79251099;2.96078420
354.79251099;2.74509811
354.79663086;2.43137264
354.80072021;2.11764717
354.80480957;2.03921580
354.80480957;2.21568632
354.80886841;2.23529410
354.81298828;2.29411769
354.81707764;2.58823538
354.81707764;2.72549009
354.82116699;2.37254906
354.82531738;2.45098042
354.82937622;1.92156863
354.83346558;2.11764717
354.83758545;2.11764717
354.83758545;1.80392158
354.84164429;2.11764717
354.84576416;2.15686274
354.84985352;2.05882359
354.84985352;1.84313726
354.85397339;1.84313726
354.85800171;1.82352936
354.86215210;1.62745094
354.86215210;1.50980389
354.86627197;1.96078432
354.87033081;2.05882359
354.87442017;2.90196085
354.87854004;3.41176462
354.88262939;3.68627453
354.88262939;3.86274505
354.88671875;3.84313726
354.89080811;3.58823538
354.89492798;3.60784316
354.89492798;3.47058821
354.89901733;3.17647052
354.90310669;3.03921580
354.90719604;2.96078420
354.90719604;2.80392146
354.91131592;2.76470590
354.91540527;2.66666675
354.91949463;2.47058821
354.92358398;2.58823538
354.92773438;2.60784316
354.92773438;2.17647052
354.93179321;2.35294127
354.93585205;2.31372547
354.93997192;2.03921580
354.93997192;1.82352936
354.94406128;1.90196073
354.94815063;1.90196073
354.95227051;1.88235295
354.95227051;1.68627453
354.95635986;1.43137252
354.96047974;1.21568632
354.96456909;1.43137252
354.96868896;1.35294116
354.97274780;2.09803915
354.97274780;2.80392146
354.97683716;3.33333325
354.98092651;3.45098042
354.98510742;3.41176462
354.98510742;3.39215684
354.98913574;3.00000000
354.99319458;2.88235283
354.99734497;2.62745094
354.99734497;2.33333325
355.00140381;2.17647052
355.00549316;2.25490189
355.00961304;2.19607854
355.01370239;2.27450991
355.01779175;2.21568632
355.01779175;2.37254906
355.02191162;2.74509811
355.02609253;2.92156863
355.03012085;2.50980401
355.03012085;2.74509811
355.03417969;2.84313726
355.03826904;2.21568632
355.04238892;1.90196073
355.04238892;1.68627453
355.04647827;1.25490201
355.05056763;1.23529410
355.05468750;1.92156863
355.05877686;2.23529410
355.06289673;2.72549009
355.06289673;3.29411769
355.06695557;3.56862736
355.07104492;3.60784316
355.07522583;3.64705873
355.07522583;3.54901958
355.07928467;3.49019599
355.08334351;3.50980401
355.08746338;3.54901958
355.08746338;3.39215684
355.09152222;3.49019599
355.09567261;3.43137264
355.09973145;3.17647052
355.10382080;3.00000000
355.10794067;2.90196085
355.10794067;2.70588231
355.11199951;2.74509811
355.11611938;2.72549009
355.12026978;2.49019599
355.12026978;2.78431368
355.12429810;3.05882359
355.12841797;2.31372547
355.13250732;2.31372547
355.13250732;2.49019599
355.13662720;2.21568632
355.14071655;2.03921580
355.14480591;2.39215684
355.14889526;2.60784316
355.15301514;2.68627453
355.15301514;2.62745094
355.15707397;2.64705873
355.16122437;2.70588231
355.16528320;2.50980401
355.16528320;2.39215684
355.16934204;2.19607854
355.17346191;2.39215684
355.17758179;2.47058821
355.17758179;2.64705873
355.18167114;2.84313726
355.18576050;2.72549009
355.18991089;2.60784316
355.19396973;2.45098042
355.19805908;2.05882359
355.19805908;1.54901958
355.20214844;1.41176474
355.20626831;1.58823526
355.21035767;1.58823526
355.21035767;1.86274505
355.21441650;1.96078432
355.21847534;2.17647052
355.22262573;2.25490189
355.22262573;2.01960778
355.22683716;2.35294127
355.23086548;2.25490189
355.23492432;2.68627453
355.23901367;3.05882359
355.24325562;2.92156863
355.24325562;3.31372547
355.24716187;3.49019599
355.25125122;2.86274505
355.25540161;2.76470590
355.25540161;2.78431368
355.25949097;2.27450991
355.26358032;2.00000000
355.26770020;2.13725495
355.26770020;1.98039210
355.27178955;2.39215684
355.27593994;2.84313726
355.27999878;2.88235283
355.28405762;3.07843137
355.28817749;3.23529410
355.28817749;2.74509811
355.29229736;2.50980401
355.29638672;2.35294127
355.30044556;2.01960778
355.30044556;1.88235295
355.30459595;1.80392158
355.30868530;1.68627453
355.31277466;1.82352936
355.31277466;2.21568632
355.31683350;2.45098042
355.32095337;2.52941179
355.32510376;2.92156863
355.32913208;2.70588231
355.33328247;2.86274505
355.33328247;3.07843137
355.33731079;2.98039222
355.34140015;2.80392146
355.34555054;2.94117641
355.34555054;3.03921580
355.34960938;2.84313726
355.35369873;2.80392146
355.35781860;3.15686274
355.35781860;3.21568632
355.36190796;3.00000000
355.36599731;3.09803915
355.37011719;2.60784316
355.37417603;2.52941179
355.37829590;2.47058821
355.37829590;2.31372547
355.38238525;2.00000000
355.38647461;2.45098042
355.39065552;2.47058821
355.39065552;2.80392146
355.39465332;2.58823538
355.39874268;2.39215684
355.40289307;2.43137264
355.40289307;2.35294127
355.40695190;2.01960778
355.41107178;1.74509799
355.41516113;1.74509799
355.41928101;1.82352936
355.42340088;1.82352936
355.42340088;1.88235295
355.42742920;1.74509799
355.43154907;1.76470590
355.43566895;1.98039210
355.43566895;1.96078432
355.43972778;2.01960778
355.44378662;2.13725495
355.44793701;2.31372547
355.44793701;2.27450991
355.45199585;2.56862736
355.45614624;2.86274505
355.46032715;2.25490189
355.46432495;2.50980401
355.46841431;2.54901958
355.46841431;2.25490189
355.47250366;2.58823538
355.47662354;2.86274505
355.48071289;3.33333325
355.48071289;3.13725495
355.48477173;3.31372547
355.48886108;2.86274505
355.49298096;2.52941179
355.49298096;2.35294127
355.49710083;2.13725495
355.50119019;2.09803915
355.50527954;2.21568632
355.50527954;2.31372547
355.50936890;2.35294127
355.51348877;2.47058821
355.51348877;2.50980401
355.51754761;2.43137264
355.52166748;2.33333325
355.52575684;2.41176462
355.52575684;2.31372547
355.52984619;2.19607854
355.53390503;2.35294127
355.53805542;2.35294127
355.53805542;2.17647052
355.54214478;2.21568632
355.54629517;2.35294127
355.55035400;2.15686274
355.55035400;2.07843137
355.55441284;2.45098042
355.55853271;2.45098042
355.55853271;2.23529410
355.56262207;2.27450991
355.56671143;2.41176462
355.57083130;2.64705873
355.57083130;2.70588231
355.57498169;2.72549009
355.57901001;2.72549009
355.58312988;2.74509811
355.58312988;2.47058821
355.58718872;2.27450991
355.59130859;1.94117641
355.59542847;1.82352936
355.59948730;1.84313726
355.60360718;2.05882359
355.60360718;2.29411769
355.60769653;2.29411769
355.61175537;2.45098042
355.61587524;2.66666675
355.61587524;2.66666675
355.61996460;2.62745094
355.62405396;2.66666675
355.62817383;2.84313726
355.62817383;2.68627453
355.63229370;2.68627453
355.63638306;2.74509811
355.64047241;2.68627453
355.64047241;2.92156863
355.64456177;3.15686274
355.64865112;3.13725495
355.64865112;3.19607854
355.65270996;3.19607854
355.65682983;3.43137264
355.66098022;2.80392146
355.66098022;2.72549009
355.66503906;2.66666675
355.66906738;2.66666675
355.67330933;2.68627453
355.67330933;3.17647052
355.67730713;3.01960778
355.68142700;2.80392146
355.68554688;2.76470590
355.68554688;2.49019599
355.68960571;2.05882359
355.69369507;1.94117641
355.69369507;1.92156863
355.69781494;1.86274505
355.70190430;2.01960778
355.70602417;2.11764717
355.70602417;2.31372547
355.71011353;2.39215684
355.71417236;2.56862736
355.71829224;2.62745094
355.71829224;2.58823538
355.72238159;2.62745094
355.72647095;2.52941179
355.73059082;2.17647052
355.73059082;2.25490189
355.73464966;2.27450991
355.73876953;2.45098042
355.73876953;2.66666675
355.74304199;2.68627453
355.74697876;2.92156863
355.75103760;3.33333325
355.75103760;3.07843137
355.75515747;2.98039222
355.75927734;2.90196085
355.76336670;2.72549009
355.76336670;2.58823538
355.76742554;2.49019599
355.77154541;2.33333325
355.77566528;2.27450991
355.77566528;2.23529410
355.77981567;2.13725495
355.78384399;2.19607854
355.78384399;2.33333325
355.78793335;2.27450991
355.79202271;2.39215684
355.79620361;2.45098042
355.79620361;2.41176462
355.80020142;2.39215684
355.80432129;2.39215684
355.80841064;2.56862736
355.80841064;2.31372547
355.81250000;2.45098042
355.81658936;2.54901958
355.82070923;2.39215684
355.82070923;2.37254906
355.82482910;2.47058821
355.82891846;2.21568632
355.82891846;2.27450991
355.83297729;2.07843137
355.83709717;2.27450991
355.84118652;1.92156863
355.84118652;1.78431368
355.84530640;2.00000000
355.84936523;1.74509799
355.85348511;1.76470590
355.85348511;1.90196073
355.85754395;1.90196073
355.86166382;1.94117641
355.86575317;2.05882359
355.86575317;2.33333325
355.86984253;2.39215684
355.87396240;2.66666675
355.87396240;2.94117641
355.87802124;2.72549009
355.88214111;2.66666675
355.88629150;2.80392146
355.88629150;2.56862736
355.89031982;2.23529410
355.89443970;2.23529410
355.89852905;2.23529410
355.89852905;2.29411769
355.90261841;2.25490189
355.90667725;2.39215684
355.91085815;2.45098042
355.91085815;2.49019599
355.91491699;2.52941179
355.91900635;2.13725495
355.91900635;2.07843137
355.92309570;2.09803915
355.92721558;1.90196073
355.93130493;1.70588231
355.93130493;1.90196073
355.93539429;2.17647052
355.93948364;1.86274505
355.94360352;2.19607854
355.94360352;2.33333325
355.94766235;2.25490189
355.95178223;2.31372547
355.95590210;2.39215684
355.95590210;2.66666675
355.95999146;2.86274505
355.96408081;3.00000000
355.96408081;3.21568632
355.96817017;3.23529410
355.97229004;3.25490189
355.97637939;3.41176462
355.97637939;3.21568632
355.98043823;3.13725495
355.98455811;3.15686274
355.98864746;2.94117641
355.98864746;2.70588231
355.99273682;3.03921580
355.99682617;3.25490189
356.00094604;3.01960778
356.00094604;2.56862736
356.00503540;2.78431368
356.00912476;2.47058821
356.00912476;1.98039210
356.01327515;1.58823526
356.01730347;1.45098042
356.02142334;1.49019611
356.02142334;1.66666663
356.02551270;1.82352936
356.02960205;2.11764717
356.03372192;2.37254906
356.03372192;2.74509811
356.03781128;2.82352948
356.04193115;2.74509811
356.04602051;2.96078420
356.04602051;3.15686274
356.05007935;2.58823538
356.05419922;2.52941179
356.05419922;2.56862736
356.05828857;2.17647052
356.06237793;2.00000000
356.06649780;1.96078432
356.06649780;1.98039210
356.07058716;2.33333325
356.07473755;2.60784316
356.07879639;2.64705873
356.07879639;2.74509811
356.08285522;2.96078420
356.08694458;2.76470590
356.09106445;2.56862736
356.09106445;2.66666675
356.09518433;2.62745094
356.09927368;2.45098042
356.09927368;2.47058821
356.10333252;2.49019599
356.10742188;2.52941179
356.11157227;2.19607854
356.11157227;2.05882359
356.11563110;1.84313726
356.11972046;1.66666663
356.12384033;1.45098042
356.12384033;1.60784316
356.12792969;1.41176474
356.13201904;1.98039210
356.13613892;2.49019599
356.13613892;2.70588231
356.14019775;2.60784316
356.14431763;2.76470590
356.14431763;3.21568632
356.14837646;2.86274505
356.15252686;2.68627453
356.15664673;2.84313726
356.15664673;2.58823538
356.16070557;2.39215684
356.16479492;2.33333325
356.16891479;2.07843137
356.16891479;2.15686274
356.17297363;2.25490189
356.17709351;2.15686274
356.18118286;2.09803915
356.18118286;2.13725495
356.18527222;2.05882359
356.18939209;1.88235295
356.18939209;1.78431368
356.19345093;1.96078432
356.19757080;1.68627453
356.20175171;1.76470590
356.20175171;1.70588231
356.20574951;1.66666663
356.20983887;2.00000000
356.21395874;2.03921580
356.21395874;2.27450991
356.21801758;2.15686274
356.22213745;2.25490189
356.22644043;2.49019599
356.22644043;2.37254906
356.23046875;2.29411769
356.23449707;2.62745094
356.23449707;2.90196085
356.23855591;2.92156863
356.24267578;3.03921580
356.24673462;3.21568632
356.24673462;3.11764717
356.25079346;3.00000000
356.25491333;3.07843137
356.25903320;2.88235283
356.25903320;2.68627453
356.26312256;2.64705873
356.26721191;2.58823538
356.27130127;2.54901958
356.27130127;3.05882359
356.27539063;2.96078420
356.27951050;2.92156863
356.27951050;3.13725495
356.28356934;3.09803915
356.28768921;2.94117641
356.29177856;2.39215684
356.29177856;2.21568632
356.29589844;2.27450991
356.29995728;1.92156863
356.30407715;1.86274505
356.30407715;1.84313726
356.30816650;1.98039210
356.31228638;2.25490189
356.31637573;2.56862736
356.31637573;2.74509811
356.32046509;3.11764717
356.32458496;3.35294127
356.32458496;3.58823538
356.32864380;3.64705873
356.33273315;3.80392146
356.33688354;3.90196085
356.33688354;3.76470590
356.34094238;3.52941179
356.34506226;3.58823538
356.34915161;3.56862736
356.34915161;3.49019599
356.35327148;3.13725495
356.35729980;2.92156863
356.36145020;2.80392146
356.36145020;2.52941179
356.36550903;2.29411769
356.36959839;2.27450991
356.36959839;2.52941179
356.37371826;2.86274505
356.37777710;3.03921580
356.38192749;3.15686274
356.38192749;3.23529410
356.38598633;3.23529410
356.39007568;2.68627453
356.39422607;2.80392146
356.39422607;2.54901958
356.39828491;2.19607854
356.40237427;2.21568632
356.40652466;2.21568632
356.40652466;2.33333325
356.41058350;2.35294127
356.41470337;2.47058821
356.41470337;2.74509811
356.41876221;2.52941179
356.42285156;2.66666675
356.42697144;2.68627453
356.42697144;2.11764717
356.43103027;2.05882359
356.43511963;2.09803915
356.43930054;1.98039210
356.43930054;1.92156863
356.44366455;1.70588231
356.44741821;1.68627453
356.45156860;1.31372547
356.45156860;1.35294116
356.45562744;1.50980389
356.45974731;1.50980389
356.45974731;1.64705884
356.46383667;2.31372547
356.46789551;2.60784316
356.47201538;2.92156863
356.47201538;3.13725495
356.47613525;3.01960778
356.48019409;2.88235283
356.48431396;2.78431368
356.48431396;2.72549009
356.48840332;2.76470590
356.49267578;2.62745094
356.49661255;2.56862736
356.49661255;2.56862736
356.50067139;2.52941179
356.50479126;2.49019599
356.50479126;2.76470590
356.50888062;2.76470590
356.51296997;2.66666675
356.51708984;2.96078420
356.51708984;2.50980401
356.52117920;2.17647052
356.52529907;1.72549021
356.52938843;1.13725495
356.52938843;1.00000000
356.53347778;1.17647064
356.53756714;1.15686274
356.54168701;1.25490201
356.54168701;1.72549021
356.54571533;2.13725495
356.54986572;2.25490189
356.54986572;2.47058821
356.55392456;2.70588231
356.55801392;2.80392146
356.56216431;2.94117641
356.56216431;2.98039222
356.56628418;2.98039222
356.57034302;2.98039222
356.57443237;3.19607854
356.57443237;3.23529410
356.57852173;3.27450991
356.58261108;3.29411769
356.58673096;3.41176462
356.58673096;3.50980401
356.59082031;3.37254906
356.59494019;3.25490189
356.59494019;2.86274505
356.59899902;2.60784316
356.60311890;2.31372547
356.60720825;1.90196073
356.60720825;1.31372547
356.61178589;1.33333337
356.61538696;1.35294116
356.61950684;1.31372547
356.61950684;1.39215684
356.62365723;1.64705884
356.62768555;1.96078432
356.63177490;2.13725495
356.63177490;2.45098042
356.63586426;2.70588231
356.63998413;2.84313726
356.63998413;3.05882359
356.64407349;3.15686274
356.64816284;3.15686274
356.65228271;3.23529410
356.65228271;3.29411769
356.65637207;3.25490189
356.66043091;3.05882359
356.66455078;2.94117641
356.66455078;3.00000000
356.66864014;2.74509811
356.67272949;2.70588231
356.67684937;2.43137264
356.67684937;2.49019599
356.68096924;2.50980401
356.68505859;2.43137264
356.68505859;2.45098042
356.68914795;2.47058821
356.69329834;2.66666675
356.69732666;2.54901958
