Time;Amplitude
313.08740234;2.68627453
313.08740234;2.45098042
313.09149170;2.45098042
313.09555054;2.49019599
313.09963989;2.45098042
313.09963989;2.47058821
313.10375977;2.43137264
313.10787964;2.49019599
313.11190796;2.47058821
313.11602783;2.37254906
313.12014771;2.27450991
313.12014771;2.54901958
313.12420654;2.49019599
313.12832642;2.43137264
313.13244629;2.66666675
313.13244629;2.60784316
313.13653564;2.19607854
313.14059448;2.21568632
313.14471436;2.21568632
313.14471436;2.00000000
313.14880371;1.82352936
313.15289307;1.88235295
313.15704346;2.11764717
313.16110229;2.31372547
313.16519165;2.56862736
313.16519165;2.62745094
313.16931152;2.62745094
313.17333984;2.70588231
313.17749023;2.76470590
313.17749023;2.62745094
313.18157959;2.68627453
313.18566895;2.74509811
313.18978882;2.60784316
313.18978882;2.64705873
313.19384766;2.94117641
313.19796753;2.98039222
313.20202637;2.88235283
313.20614624;2.82352948
313.21026611;2.56862736
313.21026611;2.23529410
313.21435547;2.01960778
313.21847534;2.11764717
313.22256470;2.21568632
313.22256470;2.37254906
313.22668457;2.25490189
313.23080444;2.35294127
313.23495483;2.35294127
313.23495483;2.17647052
313.23898315;1.84313726
313.24307251;2.13725495
313.24713135;2.58823538
313.25119019;2.54901958
313.25534058;2.96078420
313.25534058;3.01960778
313.25939941;2.66666675
313.26348877;2.62745094
313.26757813;2.56862736
313.26757813;2.35294127
313.27169800;2.27450991
313.27578735;2.33333325
313.27990723;2.23529410
313.27990723;2.47058821
313.28396606;2.56862736
313.28805542;2.70588231
313.29217529;2.80392146
313.29632568;3.05882359
313.30038452;2.96078420
313.30038452;2.98039222
313.30447388;3.33333325
313.30853271;2.88235283
313.31265259;2.98039222
313.31265259;2.96078420
313.31674194;2.74509811
313.32083130;2.25490189
313.32498169;2.37254906
313.32498169;2.27450991
313.32904053;1.88235295
313.33316040;2.00000000
313.33718872;1.80392158
313.34133911;1.80392158
313.34542847;1.90196073
313.34542847;1.76470590
313.34960938;1.54901958
313.35360718;1.45098042
313.35772705;1.52941179
313.35772705;1.31372547
313.36181641;1.58823526
313.36587524;1.72549021
313.37002563;1.84313726
313.37002563;1.92156863
313.37408447;2.11764717
313.37820435;2.41176462
313.38232422;2.45098042
313.38638306;2.54901958
313.39053345;2.37254906
313.39053345;2.47058821
313.39459229;2.56862736
313.39868164;2.47058821
313.40280151;2.68627453
313.40280151;3.00000000
313.40689087;3.03921580
313.41091919;3.05882359
313.41506958;3.07843137
313.41506958;3.21568632
313.41912842;3.05882359
313.42333984;3.17647052
313.42730713;3.01960778
313.43142700;2.98039222
313.43554688;2.70588231
313.43554688;2.62745094
313.43969727;2.62745094
313.44372559;2.56862736
313.44784546;2.45098042
313.44784546;2.54901958
313.45190430;2.60784316
313.45605469;2.58823538
313.46014404;2.31372547
313.46014404;2.41176462
313.46420288;2.35294127
313.46832275;2.25490189
313.47247314;2.01960778
313.47653198;2.19607854
313.48062134;2.19607854
313.48062134;2.47058821
313.48468018;2.70588231
313.48880005;2.60784316
313.49291992;2.68627453
313.49291992;2.88235283
313.49697876;2.72549009
313.50109863;2.72549009
313.50518799;2.88235283
313.50518799;3.23529410
313.50930786;3.37254906
313.51339722;3.41176462
313.51748657;2.94117641
313.52157593;2.62745094
313.52572632;2.11764717
313.52572632;1.68627453
313.52972412;1.66666663
313.53384399;1.62745094
313.53796387;2.00000000
313.53796387;2.31372547
313.54205322;2.54901958
313.54623413;2.88235283
313.55023193;2.60784316
313.55023193;2.82352948
313.55432129;2.72549009
313.55844116;2.52941179
313.56256104;2.43137264
313.56661987;2.47058821
313.57073975;2.33333325
313.57073975;2.66666675
313.57482910;2.62745094
313.57888794;2.54901958
313.58303833;2.82352948
313.58303833;2.84313726
313.58709717;2.82352948
313.59127808;2.68627453
313.59530640;2.49019599
313.59530640;2.70588231
313.59936523;2.29411769
313.60348511;2.15686274
313.60763550;2.41176462
313.61169434;2.33333325
313.61578369;2.68627453
313.61578369;2.64705873
313.61984253;2.43137264
313.62393188;2.49019599
313.62808228;2.47058821
313.62808228;2.33333325
313.63217163;2.31372547
313.63629150;2.43137264
313.64044189;2.41176462
313.64044189;2.66666675
313.64447021;2.60784316
313.64855957;2.64705873
